"grouping","group_col","question","prop_agree","n","n_agree","sd_agree","se","ci_lower","ci_upper","cat_group"
"jd_size","Medium","f_manage_demands_recat",86.6666666666667,75,65,0.342223782220227,3.95165985575879,78.9214133493794,94.4119199839539,"balance"
"jd_size","Medium","f_voice_concerns_recat",86.6666666666667,75,65,0.342223782220227,3.95165985575879,78.9214133493794,94.4119199839539,"org & team"
"jd_size","Medium","f_work_life_balance_recat",82.6666666666667,75,62,0.381084275751736,4.40038218378397,74.0419175864501,91.2914157468832,"balance"
"jd_size","Medium","s_pay_recat",77.3333333333333,75,58,0.421494552346359,4.86699986518262,67.7940135975754,86.8726530690913,"pay & benefits"
"jd_size","Medium","f_paid_fairly_recat",73.3333333333333,75,55,0.445194562183994,5.14066400637373,63.2576318808408,83.4090347858258,"pay & benefits"
"jd_size","Large","s_treated_fair_sex_orient_recat",99.1735537190083,242,240,0.0907202867781662,0.583172090654815,98.0305364213248,100.316571016692,"treated fairly"
"jd_size","Large","s_treated_fair_race_recat",98.7603305785124,242,239,0.110877486824252,0.712747480130459,97.3633455174567,100.157315639568,"treated fairly"
"jd_size","Large","s_treated_fair_gender_recat",98.3471074380165,242,238,0.127762167166211,0.821286316202884,96.7373862582589,99.9568286177742,"treated fairly"
"jd_size","Large","s_treated_fair_diability_recat",96.2809917355372,242,233,0.189619506063224,1.21892035075045,93.8919078480663,98.6700756230081,"treated fairly"
"jd_size","Large","s_treated_fair_age_recat",95.4545454545455,242,231,0.208730603243249,1.34177113631327,92.8246740273714,98.0844168817195,"treated fairly"
"jd_size","Large","s_supervisor_recat",92.5619834710744,242,224,0.262932370844951,1.69019329470837,89.249204613446,95.8747623287028,"supervisor"
"jd_size","Large","s_work_unit_recat",90.9090909090909,242,220,0.288075600957839,1.85182009937889,87.2795235143083,94.5386583038735,"org & team"
"jd_size","Large","s_belonging_work_unit_recat",88.8429752066116,242,215,0.315489498518504,2.02804330723252,84.8680103244358,92.8179400887873,"belonging"
"jd_size","Large","s_job_recat",88.4297520661157,242,214,0.320530748769428,2.06044969121513,84.3912706713341,92.4682334608974,"job"
"jd_size","Large","f_treated_fairly_recat",88.0165289256198,242,213,0.325441247786938,2.09201557443596,83.9161783997254,92.1168794515143,"treated fairly"
"jd_size","Large","f_psych_safe_recat",86.7768595041322,242,210,0.339444231153776,2.18203016075899,82.5000803890446,91.0536386192198,"treated fairly"
"jd_size","Large","s_belonging_agency_recat",85.9504132231405,242,208,0.348220970622382,2.23844917889498,81.5630528325063,90.3377736137747,"belonging"
