"grouping","group_col","question","prop_agree","n","n_agree","sd_agree","se","ci_lower","ci_upper","cat_group","diff_exec_sup","diff_sup_nonsup"
"position_type","Executive","s_supervisor_recat",91.304347826087,23,21,0.28810406552003,6.00738504093702,79.5298731458504,103.078822506324,"supervisor",1.50842945874001,3.78206328402921
"position_type","Executive","f_happy_input_recat",91.304347826087,23,21,0.28810406552003,6.00738504093702,79.5298731458504,103.078822506324,"org & team",8.65128660159715,5.58884104100356
"position_type","Executive","f_treated_fairly_recat",91.304347826087,23,21,0.28810406552003,6.00738504093702,79.5298731458504,103.078822506324,"treated fairly",2.52883762200533,1.43855707420583
"position_type","Executive","s_benefits_recat",82.6086956521739,23,19,0.38755338788159,8.08104675899639,66.769844004541,98.4475472998068,"pay & benefits",4.12599822537712,0.115459027647745
"position_type","Executive","f_love_job_recat",82.6086956521739,23,19,0.38755338788159,8.08104675899639,66.769844004541,98.4475472998068,"job",0.976042590949419,2.77101666354616
"position_type","Executive","s_sup_interpersonal_skills_recat",78.2608695652174,23,18,0.42174116783665,8.79391124952055,61.0248035161571,95.4969356142777,"supervisor",7.45341614906832,2.35910878112715
"position_type","Executive","f_manage_demands_recat",78.2608695652174,23,18,0.42174116783665,8.79391124952055,61.0248035161571,95.4969356142777,"balance",0.709849157054123,11.1339948823566
"position_type","Executive","f_psych_safe_recat",78.2608695652174,23,18,0.42174116783665,8.79391124952055,61.0248035161571,95.4969356142777,"treated fairly",10.5146406388642,0.0904949135617557
"position_type","Executive","f_work_life_balance_recat",69.5652173913043,23,16,0.470471968896965,9.81001869248289,50.3375807540379,88.7928540285708,"balance",7.98580301685892,10.5223740872496
"position_type","Executive","s_pay_recat",60.8695652173913,23,14,0.499010879347845,10.4050961115322,40.4755768387883,81.2635535959943,"pay & benefits",15.6610470275066,11.0871871684454
"position_type","Executive","f_paid_fairly_recat",60.8695652173913,23,14,0.499010879347845,10.4050961115322,40.4755768387883,81.2635535959943,"pay & benefits",13.620230700976,7.82312925170069
